Deck;default_playing_cards;Playing Cards;global;card_back;;
Categories;Game;;;;;
6D;card_6d;NULL;card_back;;;
6S;card_6s;NULL;card_back;;;
5H;card_5h;NULL;card_back;;;
9H;card_9h;NULL;card_back;;;
7C;card_7c;NULL;card_back;;;
AS;card_as;NULL;card_back;;;
AD;card_ad;NULL;card_back;;;
6C;card_6c;NULL;card_back;;;
8H;card_8h;NULL;card_back;;;
7D;card_7d;NULL;card_back;;;
4H;card_4h;NULL;card_back;;;
7S;card_7s;NULL;card_back;;;
AC;card_ac;NULL;card_back;;;
QH;card_qh;NULL;card_back;;;
JC;card_jc;NULL;card_back;;;
10D;card_10d;NULL;card_back;;;
10S;card_10s;NULL;card_back;;;
KS;card_ks;NULL;card_back;;;
KD;card_kd;NULL;card_back;;;
3H;card_3h;NULL;card_back;;;
2H;card_2h;NULL;card_back;;;
JS;card_js;NULL;card_back;;;
JD;card_jd;NULL;card_back;;;
KC;card_kc;NULL;card_back;;;
10C;card_10c;NULL;card_back;;;
3C;card_3c;NULL;card_back;;;
2S;card_2s;NULL;card_back;;;
2D;card_2d;NULL;card_back;;;
JH;card_jh;NULL;card_back;;;
QC;card_qc;NULL;card_back;;;
10H;card_10h;NULL;card_back;;;
KH;card_kh;NULL;card_back;;;
3S;card_3s;NULL;card_back;;;
3D;card_3d;NULL;card_back;;;
QS;card_qs;NULL;card_back;;;
QD;card_qd;NULL;card_back;;;
2C;card_2c;NULL;card_back;;;
7H;card_7h;NULL;card_back;;;
4S;card_4s;NULL;card_back;;;
4D;card_4d;NULL;card_back;;;
9C;card_9c;NULL;card_back;;;
5C;card_5c;NULL;card_back;;;
8S;card_8s;NULL;card_back;;;
8D;card_8d;NULL;card_back;;;
9S;card_9s;NULL;card_back;;;
9D;card_9d;NULL;card_back;;;
4C;card_4c;NULL;card_back;;;
AH;card_ah;NULL;card_back;;;
8C;card_8c;NULL;card_back;;;
5S;card_5s;NULL;card_back;;;
6H;card_6h;NULL;card_back;;;
5D;card_5d;NULL;card_back;;;
